date,home,away,FTR,home_score,away_score,h_fouls,h_yellow_cards,h_red_cards,h_off_sides,h_corners,h_saves,a_fouls,a_yellow_cards,a_red_cards,a_off_sides,a_corners,a_saves
sbado 25 febrero,Quertaro,Pumas UNAM,H,4,3,0,0,0,0,0,0,0,0,0,0,0,0
sbado 25 febrero,Atlas,Len,H,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 25 febrero,U.A.N.L,Morelia,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 25 febrero,Pachuca,Veracruz,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 25 febrero,Amrica,Cruz Azul,H,2,0,0,0,0,0,0,0,0,0,0,0,0,0
viernes 24 febrero,Tijuana,Monterrey,H,2,0,0,0,0,0,0,0,0,0,0,0,0,0
martes 11 abril,Chiapas,Len,D,0,0,11,1,0,2,4,3,15,0,0,1,3,2
martes 11 abril,U.A.N.L,Guadalajara,H,3,0,17,2,0,2,5,2,21,3,0,1,2,4
martes 11 abril,Veracruz,Puebla,H,3,2,21,3,0,2,9,2,20,1,1,0,7,6
domingo 22 enero,Toluca,Chiapas,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 22 enero,Puebla,Quertaro,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 marzo,Cruz Azul,U.A.N.L,D,0,0,18,3,0,0,5,2,12,1,0,5,2,3
sbado 18 marzo,Quertaro,Pachuca,H,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 marzo,Monterrey,Atlas,H,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 marzo,Len,Toluca,A,2,3,20,3,0,1,5,1,9,1,0,2,9,1
sbado 18 marzo,Necaxa,Chiapas,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 marzo,Guadalajara,Veracruz,H,2,0,7,1,0,1,8,2,11,2,0,2,7,5
mircoles 10 mayo,U.A.N.L,Monterrey,H,4,1,12,1,0,2,5,1,17,6,1,2,7,3
mircoles 10 mayo,Santos,Toluca,A,1,4,9,1,0,1,9,1,13,3,0,1,7,7
jueves 11 mayo,Morelia,Tijuana,H,1,0,10,0,0,2,1,2,23,2,0,2,7,3
jueves 11 mayo,Atlas,Guadalajara,H,1,0,11,3,0,2,0,1,14,2,0,2,9,5
domingo 29 enero,Cruz Azul,Quertaro,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 29 enero,Morelia,Amrica,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0
domingo 29 enero,U.A.N.L,Toluca,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 29 enero,Len,Tijuana,A,2,4,0,0,0,0,0,0,0,0,0,0,0,0
domingo 29 enero,Necaxa,Monterrey,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 11 febrero,Quertaro,Len,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 11 febrero,Atlas,Guadalajara,A,1,2,17,3,1,2,3,5,15,1,0,0,5,1
sbado 11 febrero,Monterrey,Pumas UNAM,H,2,0,15,3,0,5,7,5,12,2,1,2,4,5
sbado 11 febrero,Pachuca,U.A.N.L,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 11 febrero,Amrica,Puebla,D,0,0,10,2,0,2,5,3,17,2,0,2,6,4
sbado 14 enero,Quertaro,Morelia,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 14 enero,Atlas,U.A.N.L,H,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 14 enero,Monterrey,Guadalajara,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 14 enero,Pachuca,Chiapas,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 14 enero,Necaxa,Len,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
viernes 13 enero,Tijuana,Puebla,H,6,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 22 julio,Amrica,Quertaro,A,0,1,10,0,0,1,4,2,14,1,0,0,4,4
sbado 22 julio,Leon,Santos,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 22 julio,U.A.N.L,Puebla,H,5,0,7,0,0,0,5,3,9,3,1,6,2,3
sbado 22 julio,Len,Atlas,A,0,3,18,4,1,3,8,3,13,1,0,3,1,5
sbado 22 julio,Guadalajara,Toluca,D,0,0,20,3,0,4,6,4,16,2,1,0,3,3
viernes 20 enero,Veracruz,Atlas,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
domingo 26 febrero,Cruz Azul,Chiapas,H,2,0,14,2,1,4,6,3,13,2,0,5,3,9
domingo 26 febrero,Monterrey,Quertaro,H,4,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 26 febrero,Morelia,Veracruz,H,1,0,14,2,0,0,7,2,16,1,0,0,2,3
domingo 26 febrero,Len,Amrica,D,1,1,7,3,1,3,4,6,9,3,0,0,13,2
domingo 26 febrero,Necaxa,Atlas,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 26 febrero,Guadalajara,Toluca,H,2,0,8,0,0,6,6,1,14,3,2,2,4,5
domingo 16 abril,Toluca,Monterrey,D,1,1,11,3,0,1,5,3,16,2,0,3,4,7
domingo 16 abril,Puebla,Cruz Azul,H,2,1,18,4,0,2,3,2,14,3,0,1,3,2
domingo 30 abril,Quertaro,U.A.N.L,A,1,5,13,2,1,1,3,1,9,1,0,7,4,0
domingo 30 abril,Len,Cruz Azul,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0
domingo 30 abril,Amrica,Pachuca,A,2,3,19,5,0,1,7,8,12,4,0,0,3,3
domingo 30 abril,Atlas,Chiapas,A,0,1,3,0,0,2,15,6,14,2,0,2,7,6
domingo 30 abril,Monterrey,Morelia,A,1,2,18,1,0,2,3,2,14,3,0,0,1,5
domingo 30 abril,Necaxa,Guadalajara,D,0,0,16,2,0,1,5,6,7,0,0,3,5,3
domingo 30 abril,Tijuana,Veracruz,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sbado 12 agosto,Cruz Azul,Toluca,D,0,0,22,4,0,1,2,0,14,3,0,1,5,7
sbado 12 agosto,Quertaro,Morelia,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 12 agosto,Monterrey,Guadalajara,H,4,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 12 agosto,Pachuca,U.A.N.L,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 12 agosto,Necaxa,Len,A,0,3,15,4,0,1,6,1,8,0,0,1,3,2
domingo 20 agosto,Toluca,Necaxa,D,0,0,18,2,0,2,6,4,24,2,0,0,3,3
sbado 15 abril,Chiapas,Tijuana,A,1,2,5,0,0,3,10,1,13,1,0,2,4,4
sbado 15 abril,Atlas,Santos,D,1,1,10,1,0,0,8,4,9,2,0,0,2,3
sbado 15 abril,Morelia,Len,A,1,2,13,2,0,0,7,1,17,4,1,2,4,3
sbado 15 abril,U.A.N.L,Pumas UNAM,H,4,0,13,1,0,4,4,9,10,3,0,3,3,4
sbado 15 abril,Veracruz,Necaxa,A,0,1,12,1,0,2,10,4,11,1,0,1,1,5
sbado 15 abril,Pachuca,Guadalajara,D,0,0,12,2,0,2,9,1,11,3,1,0,8,7
sbado 15 abril,Amrica,Quertaro,H,1,0,13,1,0,7,4,5,13,1,0,0,4,2
viernes 21 abril,Tijuana,Toluca,H,2,0,10,2,0,0,4,1,10,1,0,2,7,7
